,title,creator,checkouts,materialtype
17113,Artemis : a novel / Andy Weir.,"Weir, Andy",667,BOOK
39482,The Rooster Bar / John Grisham.,"Grisham, John",627,BOOK
24669,The ninth hour / Alice McDermott.,"McDermott, Alice",601,BOOK
43377,No time to spare : thinking about what matters / Ursula K. Le Guin ; [introduction by Karen Joy Fowler].,"Le Guin, Ursula K., 1929-",586,BOOK
23138,Origin : a novel / Dan Brown.,"Brown, Dan, 1964-",568,BOOK
34885,Two kinds of truth / Michael Connelly.,"Connelly, Michael, 1956-",551,BOOK
6568,In the midst of winter : a novel / Isabel Allende ; translated by Nick Castor and Amanda Hopkinson.,"Allende, Isabel",540,BOOK
9630,Her body and other parties : stories / Carmen Maria Machado.,"Machado, Carmen Maria",495,BOOK
27501,We were eight years in power : an American tragedy / Ta-Nehisi Coates.,"Coates, Ta-Nehisi",479,BOOK
27549,The woman in the window / A.J. Finn.,"Finn, A. J.",399,BOOK
28604,Chief Seattle and the town that took his name : the change of worlds for the native people and settlers on Puget Sound / David M. Buerge.,"Buerge, David M.",284,BOOK
10047,So you want to talk about race / Ijeoma Oluo.,"Oluo, Ijeoma.",282,BOOK
42159,Women & power : a manifesto / Mary Beard.,"Beard, Mary, 1955-",267,BOOK
10660,"Sing, unburied, sing : a novel / Jesmyn Ward.","Ward, Jesmyn",251,BOOK
33403,Braving the wilderness : the quest for true belonging and the courage to stand alone / Brené Brown.,"Brown, Brené",164,BOOK
38602,A legacy of spies / John le Carré.,"Le Carré, John, 1931-",158,BOOK
39274,The subtle art of not giving a f*ck : a counterintuitive approach to living a good life / Mark Manson.,"Manson, Mark",138,BOOK
22987,Five-carat soul / James McBride.,"McBride, James, 1957-",130,BOOK
6014,George & Lizzie : a novel / Nancy Pearl.,"Pearl, Nancy",114,BOOK
23198,My absolute darling / Gabriel Tallent.,"Tallent, Gabriel",110,BOOK
29320,Fly Guy's ninja Christmas / Tedd Arnold.,"Arnold, Tedd",102,BOOK
25765,The handmaid's tale / Margaret Atwood.,"Atwood, Margaret, 1939-",99,BOOK
797,Leonardo da Vinci / Walter Isaacson.,"Isaacson, Walter",95,BOOK
11481,Uncataloged Folder or Bag--COL,,87,BOOK
4403,I'm a frog! / by Mo Willems.,"Willems, Mo",82,BOOK
23270,Pigs make me sneeze! / by Mo Willems.,"Willems, Mo",82,BOOK
15725,"Star wars, the last Jedi : the visual dictionary / written by Pablo Hidalgo.","Hidalgo, Pablo",79,BOOK
46576,Dragons love tacos / by Adam Rubin ; illustrated by Daniel Salmieri.,"Rubin, Adam, 1983-",79,BOOK
30629,Double down / by Jeff Kinney.,"Kinney, Jeff",78,BOOK
6968,The duckling gets a cookie!? / words and pictures by Mo Willems.,"Willems, Mo",78,BOOK
